,,,,Normalized abundance,,,,,,,,,,,,
AT5G38410.1;AT5G38410.2,3,491.41,| Symbols:  | Ribulose bisphosphate carboxylase (small chain) family protein | chr5:15377501-15378306 REVERSE LENGTH=181,2599135,2207395,2793442,3931566,4059651,3522108,4306988,4179719,4379597,1.51,1.69,0.0053,0.0052
AT2G43570.1,3,219.32,"| Symbols: CHI | chitinase, putative | chr2:18076389-18077435 REVERSE LENGTH=277",407240,384165,364471,612725,552745,583995,647774,617823,666884,1.51,1.67,0.0012,0.0002
AT2G04700.1,2,54.85,| Symbols:  | ferredoxin thioredoxin reductase catalytic beta chain family protein | chr2:1646961-1648345 FORWARD LENGTH=146,26099,19856,20659,35769,31890,32486,55009,51256,55975,1.50,2.44,0.0131,0.0003
AT1G26380.1;AT1G26390.1,4,177.84,| Symbols:  | FAD-binding Berberine family protein | chr1:9126901-9128508 REVERSE LENGTH=535,79955,63155,79674,110723,108410,114554,267725,249051,253853,1.50,3.46,0.0148,0.0000
AT5G17560.1,1,73.24,| Symbols:  | BolA-like family protein | chr5:5788474-5789671 FORWARD LENGTH=177,32720,23223,29099,41063,45884,39791,71373,69053,78818,1.49,2.58,0.0185,0.0004
AT4G20840.1,3,82.18,| Symbols:  | FAD-binding Berberine family protein | chr4:11157916-11159535 FORWARD LENGTH=539,54218,63026,41106,82405,73136,78787,34771,38423,28435,1.48,0.64,0.0420,0.0795
AT1G70890.1,2,51.93,| Symbols: MLP43 | MLP-like protein 43 | chr1:26725912-26726489 REVERSE LENGTH=158,218417,155673,193226,288916,286722,252268,350344,345584,337391,1.46,1.82,0.0218,0.0109
AT1G73260.1,7,349.75,"| Symbols: ATKTI1, KTI1 | kunitz trypsin inhibitor 1 | chr1:27547410-27548057 REVERSE LENGTH=215",1110422,1231200,1243641,1796647,1677338,1750737,5106445,5061879,5162938,1.46,4.28,0.0007,0.0000
AT2G44310.1,2,95.17,| Symbols:  | Calcium-binding EF-hand family protein | chr2:18309285-18309713 FORWARD LENGTH=142,58299,58651,58818,85279,84270,84472,186537,182160,195321,1.45,3.21,0.0000,0.0009
AT5G56030.1;AT5G56030.2,1,282.94,"| Symbols: HSP81-2, ERD8, HSP90.2, AtHsp90.2 | heat shock protein 81-2 | chr5:22686923-22689433 FORWARD LENGTH=699",80538,32844,54801,80637,75980,85624,154726,154011,156638,1.44,2.77,0.2117,0.0185
AT1G20260.1,1,34.34,"| Symbols:  | ATPase, V1 complex, subunit B protein | chr1:7016971-7020290 FORWARD LENGTH=487",59785,34447,31864,63299,55716,60445,26158,27925,26963,1.42,0.64,0.1781,0.2336
AT5G34850.1,2,94.88,"| Symbols: ATPAP26, PAP26 | purple acid phosphatase 26 | chr5:13108475-13111217 REVERSE LENGTH=475",58822,41884,70375,88971,74745,78900,160983,154520,166776,1.42,2.82,0.0834,0.0022
AT5G16710.1,2,60.97,| Symbols: DHAR3 | dehydroascorbate reductase 1 | chr5:5483312-5484926 FORWARD LENGTH=258,23657,29573,42335,47137,45311,42979,187953,194760,178277,1.42,5.87,0.1317,0.0000
AT5G66570.1,4,389.9,"| Symbols: PSBO-1, OEE1, OEE33, OE33, PSBO1, MSP-1 | PS II oxygen-evolving complex 1 | chr5:26568744-26570124 FORWARD LENGTH=332",282321,251557,257983,375316,364923,381741,803480,848247,878524,1.42,3.20,0.0018,0.0003
AT1G12840.1,1,15.46,"| Symbols: DET3, ATVHA-C | vacuolar ATP synthase subunit C (VATC) / V-ATPase C subunit / vacuolar proton pump C subunit (DET3) | chr1:4375584-4378220 FORWARD LENGTH=375",3735,4093,5671,6274,7828,4991,22731,17763,18853,1.41,4.40,0.1463,0.0044
AT4G37530.1,6,170.4,| Symbols:  | Peroxidase superfamily protein | chr4:17634786-17636082 FORWARD LENGTH=329,514869,449346,398071,629952,621972,661229,742309,702155,745460,1.40,1.61,0.0223,0.0072
AT2G43140.1,1,24.59,| Symbols:  | basic helix-loop-helix (bHLH) DNA-binding superfamily protein | chr2:17932376-17935639 REVERSE LENGTH=297,7,1396,5515,1958,4822,2899,68112,11648,32275,1.40,16.19,0.6544,0.1664
AT2G41680.1,5,158.28,| Symbols: NTRC | NADPH-dependent thioredoxin reductase C | chr2:17376349-17379028 REVERSE LENGTH=529,81558,66148,61823,101680,89774,101060,228050,229605,245102,1.40,3.35,0.0239,0.0000
AT4G25130.1,3,91.99,| Symbols: PMSR4 | peptide met sulfoxide reductase 4 | chr4:12898802-12899998 REVERSE LENGTH=258,83694,77372,68447,113008,106678,100583,172148,168515,204617,1.40,2.38,0.0068,0.0058
AT1G16470.1,1,45.99,| Symbols: PAB1 | proteasome subunit PAB1 | chr1:5623122-5625439 FORWARD LENGTH=235,28454,19763,27954,37711,32597,35400,94233,82733,82068,1.39,3.40,0.0530,0.0004
AT3G12780.1,7,658.84,| Symbols: PGK1 | phosphoglycerate kinase 1 | chr3:4061127-4063140 REVERSE LENGTH=481,948833,678373,701390,1124314,1069638,1019988,1628476,1577365,1525139,1.38,2.03,0.0634,0.0064
AT1G66410.1;AT2G27030.2,4,222.53,"| Symbols: CAM4, ACAM-4 | calmodulin 4 | chr1:24774431-24775785 REVERSE LENGTH=149",665183,511925,779349,921418,923439,845030,3065430,2941835,3152540,1.37,4.68,0.0752,0.0000
AT4G39960.1,1,39.3,| Symbols:  | Molecular chaperone Hsp40/DnaJ family protein | chr4:18534194-18536320 FORWARD LENGTH=447,7075,9251,6995,11981,11223,8646,32814,34675,37306,1.37,4.49,0.0916,0.0003
AT5G11330.1,1,52.54,| Symbols:  | FAD/NAD(P)-binding oxidoreductase family protein | chr5:3617342-3618861 REVERSE LENGTH=408,5346,10059,10558,12053,10969,12350,12789,12701,13077,1.36,1.49,0.1940,0.1264
AT1G76160.1;AT1G55570.1,3,181.81,| Symbols: sks5 | SKU5 similar 5 | chr1:28578211-28581020 REVERSE LENGTH=541,155575,107891,126234,175246,182788,169805,193310,170335,187051,1.35,1.41,0.0713,0.0422
AT3G24503.1,3,97.87,"| Symbols: ALDH2C4, ALDH1A, REF1 | aldehyde dehydrogenase 2C4 | chr3:8919732-8923029 REVERSE LENGTH=501",54593,52736,57798,73119,72522,77359,134991,129436,133385,1.35,2.41,0.0008,0.0000
AT5G38430.1,3,483.01,| Symbols:  | Ribulose bisphosphate carboxylase (small chain) family protein | chr5:15384350-15385155 REVERSE LENGTH=181,1030822,891532,1155679,1438143,1458602,1259458,1562077,1533806,1575860,1.35,1.52,0.0235,0.0179
AT5G13420.1,1,45.19,| Symbols:  | Aldolase-type TIM barrel family protein | chr5:4302080-4304212 REVERSE LENGTH=438,329350,303152,346213,436911,500783,383180,892711,833311,972202,1.35,2.76,0.0645,0.0026
AT3G02740.1,1,28.6,| Symbols:  | Eukaryotic aspartyl protease family protein | chr3:590561-593089 FORWARD LENGTH=488,0,9016,8498,8377,7998,6995,27493,32598,23863,1.33,4.79,0.5741,0.0049
AT1G71695.1,1,21.71,| Symbols:  | Peroxidase superfamily protein | chr1:26964359-26966557 FORWARD LENGTH=358,11352,3110,4300,7358,8273,9276,19812,19452,21089,1.33,3.22,0.5117,0.0290
AT3G04720.1,1,27.65,"| Symbols: PR4, HEL, PR-4 | pathogenesis-related 4 | chr3:1285691-1286531 REVERSE LENGTH=212",50085,30454,36735,51018,52742,51685,123700,140803,141396,1.33,3.46,0.1580,0.0003
AT3G45030.1,1,31.26,| Symbols:  | Ribosomal protein S10p/S20e family protein | chr3:16471606-16472312 REVERSE LENGTH=124,9630,11040,10647,15855,13042,12522,18579,20104,18461,1.32,1.82,0.0671,0.0003
AT3G10620.1,1,39.32,"| Symbols: ATNUDX26, NUDX26 | nudix hydrolase homolog 26 | chr3:3320263-3321565 FORWARD LENGTH=216",49911,31621,48729,57365,61537,53013,64841,58325,71100,1.32,1.49,0.1295,0.0474
AT3G01680.1,1,15.87,| Symbols:  | CONTAINS InterPro DOMAIN/s: Mediator complex subunit Med28 (InterPro:IPR021640); BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT3G01670.1); Has 122 Blast hits to 112 proteins in 13 species: Archae - 0; Bacteria - 0,25397,16621,19447,13292,30705,36638,22958,40621,25959,1.31,1.46,0.4654,0.2235
AT4G09040.1,2,76.51,| Symbols:  | RNA-binding (RRM/RBD/RNP motifs) family protein | chr4:5795075-5797315 REVERSE LENGTH=304,72258,58659,66199,80816,88168,80462,97118,95471,99702,1.27,1.48,0.0269,0.0097
AT5G20080.1,2,117.65,| Symbols:  | FAD/NAD(P)-binding oxidoreductase | chr5:6782708-6786360 FORWARD LENGTH=328,45085,32341,34818,48262,47911,44573,121253,118637,116963,1.25,3.18,0.1255,0.0010
AT1G77490.1,3,80.22,| Symbols: TAPX | thylakoidal ascorbate peroxidase | chr1:29117688-29120046 FORWARD LENGTH=426,28032,43021,41350,44091,45316,51513,95546,93668,93148,1.25,2.51,0.1725,0.0060
AT5G50250.1,1,48.49,| Symbols: CP31B | chloroplast RNA-binding protein 31B | chr5:20452677-20453965 REVERSE LENGTH=289,23398,18620,15634,23448,27102,19898,46247,37124,39622,1.22,2.13,0.2378,0.0039
AT5G51100.1,1,33.01,| Symbols: FSD2 | Fe superoxide dismutase 2 | chr5:20773357-20775635 REVERSE LENGTH=305,4448,3353,4288,5213,4372,5092,12817,11805,13684,1.21,3.17,0.1204,0.0005
AT3G60820.1,1,51.29,| Symbols: PBF1 | N-terminal nucleophile aminohydrolases (Ntn hydrolases) superfamily protein | chr3:22472038-22473809 REVERSE LENGTH=223,53708,24941,16178,39088,35966,40004,52983,53642,56087,1.21,1.72,0.6129,0.1832
AT3G50360.1,3,121.36,"| Symbols: ATCEN2, CEN1, CEN2 | centrin2 | chr3:18674421-18675502 FORWARD LENGTH=169",81576,56360,52849,76880,76859,76653,156623,151072,171382,1.21,2.51,0.2819,0.0016
AT2G28605.1,2,50.15,| Symbols:  | Photosystem II reaction center PsbP family protein | chr2:12254911-12255689 FORWARD LENGTH=232,7711,9790,4248,9017,7869,9120,34517,30559,29556,1.20,4.35,0.4753,0.0004
AT2G43510.1,3,154.91,"| Symbols: ATTI1, TI1 | trypsin inhibitor protein 1 | chr2:18067211-18067620 FORWARD LENGTH=89",974975,729280,844089,1148656,933967,948568,1900148,1838046,1863974,1.19,2.20,0.1800,0.0031
AT1G09310.1;AT1G56580.1,5,202.96,"| Symbols:  | Protein of unknown function, DUF538 | chr1:3009109-3009648 FORWARD LENGTH=179",603192,538538,498601,644157,641516,639669,1384369,1394491,1336837,1.17,2.51,0.0890,0.0001
AT1G70690.1,1,24.26,"| Symbols: HWI1, PDLP5 | Receptor-like protein kinase-related family protein | chr1:26652099-26653381 FORWARD LENGTH=299",50099,47223,43493,55594,52864,56223,41037,40773,44960,1.17,0.90,0.0338,0.1241
AT2G38270.1,2,37.53,"| Symbols: CXIP2, ATGRX2 | CAX-interacting protein 2 | chr2:16031347-16033054 REVERSE LENGTH=293",36242,27933,33320,40342,37242,36128,68180,69149,67597,1.17,2.10,0.1431,0.0036
AT1G79550.1,1,204.21,| Symbols: PGK | phosphoglycerate kinase | chr1:29924347-29926295 REVERSE LENGTH=401,149804,34980,52317,87799,85729,100794,66884,76536,76610,1.16,0.93,0.7625,0.8884
AT1G56190.1,3,410.98,| Symbols:  | Phosphoglycerate kinase family protein | chr1:21028403-21030454 FORWARD LENGTH=478,68060,34356,44172,56802,54898,57747,116447,102445,104863,1.16,2.21,0.5263,0.0158
AT4G13850.1,1,87.12,"| Symbols: ATGRP2, GR-RBP2, GRP2 | glycine-rich RNA-binding protein 2 | chr4:8021314-8022065 FORWARD LENGTH=158",9200,4455,7969,8051,9971,6446,31637,31210,27233,1.13,4.17,0.6194,0.0003
AT2G47470.1;AT2G47470.2,2,67,"| Symbols: ATPDIL2-1, UNE5, MEE30, PDI11, ATPDI11 | thioredoxin family protein | chr2:19481503-19483683 FORWARD LENGTH=361",23339,25828,20608,27465,26237,24635,62872,60145,57362,1.12,2.59,0.1922,0.0001
AT5G43960.1,1,41.39,| Symbols:  | Nuclear transport factor 2 (NTF2) family protein with RNA binding (RRM-RBD-RNP motifs) domain | chr5:17689154-17691653 REVERSE LENGTH=450,43760,44740,31806,44986,45541,43001,85863,82908,87096,1.11,2.13,0.4007,0.0051
AT4G23670.1,4,153.47,| Symbols:  | Polyketide cyclase/dehydrase and lipid transport superfamily protein | chr4:12332846-12333656 REVERSE LENGTH=151,187260,211649,181787,122052,174932,342567,1152194,1070141,1239144,1.10,5.96,0.7966,0.0019
AT3G10740.1,1,16.65,"| Symbols: ASD1, ARAF1, ARAF, ATASD1 | alpha-L-arabinofuranosidase 1 | chr3:3361031-3364573 REVERSE LENGTH=678",17809,25021,31601,27323,25286,28475,10635,11554,12640,1.09,0.47,0.6373,0.0773
AT2G43290.1,1,33.66,| Symbols: MSS3 | Calcium-binding EF-hand family protein | chr2:17991308-17991955 REVERSE LENGTH=215,3666,6109,7326,5892,6012,6591,19316,15500,19149,1.08,3.16,0.7106,0.0019
AT2G30110.1,1,26.94,"| Symbols: ATUBA1, MOS5, UBA1 | ubiquitin-activating enzyme 1 | chr2:12852632-12857369 REVERSE LENGTH=1080",7947,4265,8533,8217,7526,6647,11124,10008,8878,1.08,1.45,0.7287,0.1323
AT1G22400.1;AT1G22340.1,3,83.43,"| Symbols: UGT85A1, ATUGT85A1 | UDP-Glycosyltransferase superfamily protein | chr1:7903851-7906607 REVERSE LENGTH=489",105452,97163,76882,103059,96496,97839,271476,273298,275049,1.06,2.93,0.5582,0.0019
AT4G03080.1,1,57.12,| Symbols: BSL1 | BRI1 suppressor 1 (BSU1)-like 1 | chr4:1359935-1365166 REVERSE LENGTH=881,5206,7556,10096,7370,7256,9083,34328,33573,38602,1.04,4.66,0.8662,0.0002
AT4G01870.1,2,72.74,| Symbols:  | tolB protein-related | chr4:808473-810431 REVERSE LENGTH=652,16624,13429,21461,16793,17682,18575,89068,83776,93819,1.03,5.18,0.8488,0.0001
AT3G27925.1,1,29.62,"| Symbols: DEGP1, Deg1 | DegP protease 1 | chr3:10366659-10368864 REVERSE LENGTH=439",24301,25251,21590,24245,23643,25358,42509,40296,42461,1.03,1.76,0.6043,0.0004
AT1G23310.1;AT1G70580.1,6,285.22,"| Symbols: GGT1, AOAT1, GGAT1 | glutamate:glyoxylate aminotransferase | chr1:8268720-8271329 REVERSE LENGTH=481",165734,169122,131390,164412,162440,149156,461689,445647,435715,1.02,2.88,0.8203,0.0001
AT3G16420.1;AT3G16430.1,5,258.7,"| Symbols: PBP1, JAL30 | PYK10-binding protein 1 | chr3:5579560-5580674 FORWARD LENGTH=298",551128,521181,572484,564634,549191,561463,454740,442552,453725,1.02,0.82,0.5718,0.0171
AT4G29680.1,1,23.68,| Symbols:  | Alkaline-phosphatase-like family protein | chr4:14538067-14539557 REVERSE LENGTH=496,18877,5956,9650,10827,13058,11173,19265,16970,14788,1.02,1.48,0.9651,0.2856
AT5G20230.1,2,223.58,"| Symbols: ATBCB, BCB, SAG14 | blue-copper-binding protein | chr5:6826626-6827408 FORWARD LENGTH=196",740265,1235522,927989,948258,1002358,990548,2201429,2210911,2317153,1.01,2.32,0.9393,0.0091
AT1G32470.1,2,499.17,| Symbols:  | Single hybrid motif superfamily protein | chr1:11739479-11740246 REVERSE LENGTH=166,864471,877106,1247220,861905,1156754,1005668,3343734,3506314,3824435,1.01,3.57,0.9420,0.0002
AT1G26340.1,1,35.87,"| Symbols: B5 #6, ATCB5-A, CB5-A | cytochrome B5 isoform A | chr1:9113992-9114755 FORWARD LENGTH=135",21824,16695,11028,15511,17928,16596,30525,29415,32227,1.01,1.86,0.9636,0.0377
AT4G14710.1,1,34.6,| Symbols: ATARD2 | RmlC-like cupins superfamily protein | chr4:8424897-8426360 REVERSE LENGTH=199,8843,18774,24522,14875,10579,27088,28704,29937,28408,1.01,1.67,0.9850,0.1248
AT5G19220.1,1,17.47,"| Symbols: ADG2, APL1 | ADP glucose pyrophosphorylase large subunit 1 | chr5:6463931-6466775 REVERSE LENGTH=522",6314,4840,3755,5847,4682,4479,18378,17974,21773,1.01,3.90,0.9715,0.0013
AT5G67130.1,1,28.53,| Symbols:  | PLC-like phosphodiesterases superfamily protein | chr5:26791599-26793649 FORWARD LENGTH=426,11445,15299,13900,13502,12490,14623,10666,12081,13106,1.00,0.88,0.9943,0.3075
AT3G48690.1,2,67.11,"| Symbols: ATCXE12, CXE12 | alpha/beta-Hydrolases superfamily protein | chr3:18037186-18038160 REVERSE LENGTH=324",32587,36357,88700,53335,53793,50370,78352,71480,77079,1.00,1.44,0.9981,0.3300
AT3G17790.1,1,36.26,"| Symbols: ATACP5, ATPAP17, PAP17 | purple acid phosphatase 17 | chr3:6089779-6090988 FORWARD LENGTH=338",231,1876,2501,1854,1129,1620,11789,11667,11565,1.00,7.60,0.9984,0.0041
AT5G55730.1,5,229.22,| Symbols: FLA1 | FASCICLIN-like arabinogalactan 1 | chr5:22558375-22560392 REVERSE LENGTH=424,585200,554027,600108,596854,564594,545433,576609,551013,562085,0.98,0.97,0.6215,0.3611
AT4G29350.1,4,194.15,"| Symbols: PFN2, PRO2, PRF2 | profilin 2 | chr4:14450135-14451119 FORWARD LENGTH=131",1002497,1024881,930037,1035881,936298,897866,914262,889750,899365,0.97,0.91,0.5958,0.0900
AT5G14260.1,2,62.71,| Symbols:  | Rubisco methyltransferase family protein | chr5:4601139-4603873 FORWARD LENGTH=514,27120,22960,24977,22505,24542,25316,31593,31693,31622,0.96,1.26,0.5764,0.0313
AT5G35630.1,2,175.68,"| Symbols: GS2, GLN2, ATGSL1 | glutamine synthetase 2 | chr5:13831220-13833239 FORWARD LENGTH=430",318477,265341,284825,290493,275984,262457,405454,381112,437213,0.95,1.41,0.5043,0.0062
AT3G46550.1,1,24.45,| Symbols: SOS5 | Fasciclin-like arabinogalactan family protein | chr3:17136612-17137874 REVERSE LENGTH=420,12929,1220,2744,6179,4470,5430,10344,10814,8411,0.95,1.75,0.9482,0.3693
AT5G20720.1,1,67.07,"| Symbols: CPN20, CPN10, CHCPN10, ATCPN21, CPN21 | chaperonin 20 | chr5:7015015-7016354 FORWARD LENGTH=253",41777,41948,51403,45855,44674,37607,100750,105155,105071,0.95,2.30,0.6007,0.0007
AT2G13360.1,5,326.35,"| Symbols: AGT, AGT1, SGAT | alanine:glyoxylate aminotransferase | chr2:5539417-5540902 REVERSE LENGTH=401",462350,140334,159158,234082,196749,281102,607422,449180,549373,0.93,2.11,0.8896,0.0979
AT3G08740.1,1,38.09,| Symbols:  | elongation factor P (EF-P) family protein | chr3:2654788-2656154 REVERSE LENGTH=236,11798,11648,13335,11729,12026,10513,26808,25405,23696,0.93,2.06,0.3050,0.0007
AT1G66970.1;AT1G66970.2;AT1G66980.1,7,243.72,| Symbols: SVL2 | SHV3-like 2 | chr1:24992746-24996005 REVERSE LENGTH=763,303588,225294,124299,213493,195337,195349,258626,237701,241347,0.92,1.13,0.7835,0.6427
AT4G38740.1;AT2G21130.1,3,60.39,| Symbols: ROC1 | rotamase CYP 1 | chr4:18083620-18084138 REVERSE LENGTH=172,143448,122191,129774,124499,114182,123979,103615,107055,99764,0.92,0.79,0.2180,0.0341
AT5G39210.1,1,41.07,| Symbols: CRR7 | chlororespiratory reduction 7 | chr5:15703231-15703999 FORWARD LENGTH=156,40730,47944,51580,42108,42968,42825,60306,56418,64525,0.91,1.29,0.3254,0.0297
AT1G62380.1,1,20.24,"| Symbols: ACO2, ATACO2 | ACC oxidase 2 | chr1:23082340-23084068 FORWARD LENGTH=320",19361,14289,17980,15536,15232,16270,30799,32035,29360,0.91,1.79,0.4193,0.0043
AT2G35010.1,2,91.49,"| Symbols: ATO1, TO1 | thioredoxin O1 | chr2:14754398-14755888 FORWARD LENGTH=194",75028,63983,70970,63790,61888,59725,122126,129111,123636,0.88,1.79,0.1134,0.0003
AT2G15130.1,1,36,| Symbols:  | Plant basic secretory protein (BSP) family protein | chr2:6565154-6565831 FORWARD LENGTH=225,1295,1186,2786,1438,2046,1142,28050,28405,24621,0.88,15.39,0.7373,0.0006
AT3G58610.1,3,95.81,| Symbols:  | ketol-acid reductoisomerase | chr3:21671561-21674639 FORWARD LENGTH=591,93470,69006,69518,65965,70378,67071,93070,90514,90619,0.88,1.18,0.3590,0.2224
AT4G34180.1;AT1G44542.1,3,125.95,| Symbols:  | Cyclase family protein | chr4:16370060-16371383 REVERSE LENGTH=255,186062,184937,192720,172288,161779,159902,168182,164701,167971,0.88,0.89,0.0109,0.0054
AT2G43710.1,1,21.62,"| Symbols: SSI2, FAB2 | Plant stearoyl-acyl-carrier-protein desaturase family protein | chr2:18120107-18122495 FORWARD LENGTH=401",16212,9640,5757,8994,10250,8450,8495,9277,10138,0.88,0.88,0.7124,0.7267
AT1G09340.1,4,161.5,"| Symbols: CRB, CSP41B, HIP1.3 | chloroplast RNA binding | chr1:3015473-3018035 FORWARD LENGTH=378",440501,408204,526918,426758,371544,406043,496169,472325,479069,0.88,1.05,0.2452,0.5708
AT4G28660.1,1,24.67,| Symbols: PSB28 | photosystem II reaction center PSB28 protein | chr4:14150008-14150933 FORWARD LENGTH=183,33361,37547,47841,33592,36413,33637,75443,73900,68602,0.87,1.84,0.3624,0.0070
AT2G44060.1,2,66.93,"| Symbols:  | Late embryogenesis abundant protein, group 2 | chr2:18226922-18227988 FORWARD LENGTH=325",54802,41722,41902,37458,41555,39964,78816,77487,76426,0.86,1.68,0.2701,0.0165
AT3G08530.1,1,19.58,"| Symbols:  | Clathrin, heavy chain | chr3:2587171-2595411 REVERSE LENGTH=1703",5933,6326,13474,8911,6181,7022,8033,10133,9688,0.86,1.08,0.6787,0.8036
AT4G11650.1,3,113.06,"| Symbols: ATOSM34, OSM34 | osmotin 34 | chr4:7025127-7026113 REVERSE LENGTH=244",37220,25983,35111,28351,26939,29128,143976,163381,142326,0.86,4.57,0.3102,0.0006
AT3G57260.1,2,117.5,"| Symbols: BGL2, PR2, BG2, PR-2 | beta-1,3-glucanase 2 | chr3:21188709-21189822 REVERSE LENGTH=339",344919,288385,250631,249107,252673,255429,131190,128731,124510,0.86,0.43,0.2627,0.0255
AT3G10060.1,5,179.76,| Symbols:  | FKBP-like peptidyl-prolyl cis-trans isomerase family protein | chr3:3102291-3103801 FORWARD LENGTH=230,152690,197197,214620,158697,168647,154983,841259,790257,816466,0.85,4.34,0.2734,0.0000
AT5G16050.1;AT3G02520.1,3,326.62,"| Symbols: GRF5, GF14 UPSILON | general regulatory factor 5 | chr5:5244008-5245402 REVERSE LENGTH=268",521248,196583,198794,253626,253989,273334,242893,232479,260936,0.85,0.80,0.7159,0.6337
AT2G02990.1,3,65.23,"| Symbols: RNS1, ATRNS1 | ribonuclease 1 | chr2:873714-874667 FORWARD LENGTH=230",207307,308362,256412,247060,218933,191447,191595,178280,178225,0.85,0.71,0.3317,0.1216
AT3G13235.1,1,58.84,| Symbols:  | ubiquitin family protein | chr3:4271492-4274348 REVERSE LENGTH=414,9340,31734,11717,13625,14036,16982,29325,31570,27845,0.85,1.68,0.7402,0.2317
AT3G19010.1,3,136.44,| Symbols:  | 2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein | chr3:6556306-6557862 REVERSE LENGTH=349,45136,41099,52174,38512,37413,40234,97333,91243,105901,0.84,2.13,0.1418,0.0009
AT4G09320.1,3,109.76,| Symbols: NDPK1 | Nucleoside diphosphate kinase family protein | chr4:5923424-5924366 FORWARD LENGTH=169,339111,245441,289064,239395,239644,237219,312816,334461,337724,0.82,1.13,0.1921,0.3020
AT4G18810.1,2,66.64,| Symbols:  | NAD(P)-binding Rossmann-fold superfamily protein | chr4:10322622-10325735 REVERSE LENGTH=596,11378,26498,19634,11779,16194,19022,33314,26511,27709,0.82,1.52,0.5243,0.1349
AT3G14415.1;AT3G14415.2;AT3G14420.1;AT4G18360.1,6,300.08,| Symbols:  | Aldolase-type TIM barrel family protein | chr3:4818667-4820748 FORWARD LENGTH=367,165220,112056,115672,119715,104352,93447,356176,357518,320447,0.81,2.63,0.2799,0.0009
AT3G62030.1,11,532.32,| Symbols: ROC4 | rotamase CYP 4 | chr3:22973708-22975139 FORWARD LENGTH=260,12436994,14422411,14385222,10639049,10907042,10900055,12895823,12209988,13076178,0.79,0.93,0.0443,0.2563
AT3G25520.1;AT3G25520.2,2,122.73,"| Symbols: ATL5, PGY3, OLI5, RPL5A | ribosomal protein L5 | chr3:9269573-9271327 REVERSE LENGTH=301",47417,32165,34015,31920,30450,26924,46760,37771,31612,0.79,1.02,0.2286,0.9027
AT1G77060.1,1,18.46,| Symbols:  | Phosphoenolpyruvate carboxylase family protein | chr1:28951804-28953449 REVERSE LENGTH=339,5661,4413,4903,3405,3996,4353,6401,7517,9354,0.78,1.55,0.0828,0.0682
AT2G21330.1;AT2G21330.2,7,759.81,| Symbols: FBA1 | fructose-bisphosphate aldolase 1 | chr2:9128416-9130152 REVERSE LENGTH=399,2487547,2155969,2195763,1848344,1777423,1701071,2653012,2522596,2568400,0.78,1.13,0.0271,0.0883
AT1G68010.1,5,289.65,"| Symbols: HPR, ATHPR1 | hydroxypyruvate reductase | chr1:25493418-25495720 FORWARD LENGTH=386",279751,407285,376914,283369,274924,270172,588289,571935,565880,0.78,1.62,0.1769,0.0261
AT1G77090.1,3,100.12,| Symbols:  | Mog1/PsbP/DUF1795-like photosystem II reaction center PsbP family protein | chr1:28960576-28961875 REVERSE LENGTH=260,89680,77290,84259,65504,63120,65884,256929,250163,249139,0.77,3.01,0.0285,0.0000
AT2G42590.1;AT2G42590.2,3,108,"| Symbols: GRF9, GF14 MU | general regulatory factor 9 | chr2:17732118-17733775 REVERSE LENGTH=263",137249,108586,111842,101784,83922,88714,177207,160778,175056,0.77,1.43,0.0717,0.0137
AT5G35700.1,2,61.06,"| Symbols: FIM2, FIM5 | fimbrin-like protein 2 | chr5:13872833-13876432 REVERSE LENGTH=687",33218,29544,36729,24071,25381,26770,41848,35828,41295,0.77,1.20,0.0507,0.0836
AT5G09810.1,1,124.17,| Symbols: ACT7 | actin 7 | chr5:3052809-3054220 FORWARD LENGTH=377,40029,25757,15784,21869,18660,21860,8116,8682,9235,0.76,0.32,0.4601,0.1189
AT3G28940.1,6,340.16,| Symbols:  | AIG2-like (avirulence induced gene) family protein | chr3:10968324-10969311 REVERSE LENGTH=169,493889,575087,575568,417328,419503,412353,925375,885140,918055,0.76,1.66,0.0392,0.0017
AT3G01500.1,4,644.24,"| Symbols: CA1, ATBCA1, SABP3, ATSABP3 | carbonic anhydrase 1 | chr3:194853-196716 REVERSE LENGTH=270",2444075,2447210,2655330,1887836,1907048,1906334,5536969,5373546,5604952,0.76,2.19,0.0122,0.0000
AT1G15930.1,1,38.29,| Symbols:  | Ribosomal protein L7Ae/L30e/S12e/Gadd45 family protein | chr1:5471702-5472741 FORWARD LENGTH=144,15725,21889,8065,14475,11536,8470,34026,30959,32141,0.75,2.13,0.4604,0.0445
AT4G32920.1,1,18.32,| Symbols:  | glycine-rich protein | chr4:15888153-15896006 REVERSE LENGTH=1432,58105,33340,63645,31755,37019,44373,43602,52164,60876,0.73,1.01,0.2697,0.9640
AT4G24770.1,7,499.47,"| Symbols: RBP31, ATRBP31, CP31, ATRBP33 | 31-kDa RNA binding protein | chr4:12766223-12767952 REVERSE LENGTH=329",1719166,1599493,1558061,1218796,1291126,1017833,3569464,3179214,3441211,0.72,2.09,0.0149,0.0013
AT3G16640.1;AT3G05540.1,7,348.09,| Symbols: TCTP | translationally controlled tumor protein | chr3:5669709-5670729 REVERSE LENGTH=168,1445667,1262827,1706954,1120870,1030933,1025194,1923347,1829453,1888047,0.72,1.28,0.0779,0.0809
